label,final_equity,total_return,annualized_return,sharpe,calmar,max_drawdown,win_rate,win_count,total_trades,pl_ratio,elapsed
Benchmark (Buy & Hold),108723.20141,0.08723201409999994,0.41913713456832724,2.5653853584667337,8.236122606282551,-0.049068858477173426,0.0,0,0,0.0,43.62333703041077
Rotation 效率轮动 (lb20 hp20 n2),118888.14121999999,0.1888814121999999,1.0583018688081998,2.8408974966084584,10.472121793201962,-0.0996265980677827,1.0,1,1,inf,0.046404361724853516
Rotation 效率轮动 (lb20 hp20 n3),113782.72401,0.13782724010000005,0.7138532771179531,2.5418686114826046,8.819720424491297,-0.07923757709794542,1.0,1,1,inf,0.04358196258544922
Rotation 效率轮动 (lb10 hp10 n3),115766.73424999998,0.1576673424999998,0.8420348800401174,3.2448242069798203,17.19027509186685,-0.048110625084261054,1.0,9,9,inf,0.05037808418273926
TripleMomentum (b24 m25 s20 h20),121788.51071,0.21788510710000003,1.2760667228683231,2.4771884854269364,9.23442779136609,-0.13656143632931783,1.0,1,1,inf,0.07442331314086914
AgentStrategy (LLM投委会),99983.14711,-0.0001685288999999466,-0.0007029843566163096,-0.3854278453973276,-0.6700175910163353,-0.023436674748787998,0.5,3,6,0.5668149205730098,2008.7204823493958
EffiAgent (LLM效率轮动),117576.17585000003,0.17576175850000028,0.965175519304323,2.490596033705993,9.035116384094836,-0.10516472382989832,1.0,1,1,inf,46.110111713409424
